Cor Coluna 6;Cor Coluna 6 anterior anterior;Cor Coluna 6 Anterior;Valor Primeira Linha;Analise Grafica;%Tome;%tomeAnterior;% Pague;Coluna 6;Data;Hora;SaldoConta;ValorPColuna6;ValorPLinha;p%_menores_1p99x;p%_menores_1p99x_anterior;MultiplicadoPlinhaAnt;p%_menores_3p00x;p%_menores_3p00x_anterior;p%_menores_1p42x;p%_menores_1p42x_anterior;p%_menores_1p20x_anterior;p%_menores_1p20x;Jogadas_anterior;Jogou;1x12PrimeSemprimeV;joogou_ante;sexto_valor_primeira_linha;sexto_valor_segunda_linha;sexto_valor_terceira_linha;sexto_valor_quarta_linha;resultado_estrategia
None;None;None;None;;None;None;None;None;21/03/2025;22:07:20;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None
Azul;None;None;1.98;Esta no Tome!!;22.727272727272727;None;18.181818181818183;Coluna 6 Anterior não pagadora;21/03/2025;22:07:53;26.29;None;None;66.66666666666666;None;None;25.0;None;16.666666666666664;None;None;16.666666666666664;SemJogada;NaoJogou;63.63636363636363;None;[6.79];[1.09];[1.24];[1.53];False
Rosa;Azul;None;13.9;Esta no Tome!!;22.727272727272727;22.727272727272727;19.696969696969695;Coluna 6 Anterior não pagadora;21/03/2025;22:08:06;26.29;Sovalor;SoValor;58.333333333333336;66.66666666666666;None;50.0;25.0;16.666666666666664;16.666666666666664;16.666666666666664;16.666666666666664;SemJogada;NaoJogou;63.63636363636363;NaoJogou;[1.71];[8.56];[2.53];[3.19];False
Azul;Rosa;None;1.01;Esta no Tome!!;24.242424242424242;22.727272727272727;19.696969696969695;Coluna 6 Anterior não pagadora;21/03/2025;22:08:22;26.29;Sovalor;SoValor;66.66666666666666;58.333333333333336;None;50.0;50.0;33.33333333333333;16.666666666666664;16.666666666666664;33.33333333333333;SemJogada;NaoJogou;63.63636363636363;NaoJogou;[1.53];[5.51];[4.67];[1.6];False
Azul;Azul;None;1.61;Esta no Tome!!;25.757575757575758;24.242424242424242;19.696969696969695;Coluna 6 Anterior não pagadora;21/03/2025;22:08:35;26.29;Sovalor;SoValor;75.0;66.66666666666666;None;25.0;50.0;33.33333333333333;33.33333333333333;33.33333333333333;33.33333333333333;SemJogada;NaoJogou;72.72727272727273;NaoJogou;[1.16];[1.24];[1.0];[1.57];True
Azul;Azul;None;1.26;Esta no Tome!!;27.27272727272727;25.757575757575758;19.696969696969695;Coluna 6 Anterior não pagadora;21/03/2025;22:08:59;26.29;Sovalor;SoValor;75.0;75.0;None;25.0;25.0;33.33333333333333;33.33333333333333;33.33333333333333;16.666666666666664;SemJogada;NaoJogou;72.72727272727273;NaoJogou;[10.52];[1.07];[2.29];[2.09];True
Azul;Azul;None;2.91;Esta no Tome!!;27.27272727272727;27.27272727272727;21.21212121212121;Coluna 6 Anterior não pagadora;21/03/2025;22:09:09;26.29;Sovalor;SoValor;66.66666666666666;75.0;None;0.0;25.0;33.33333333333333;33.33333333333333;16.666666666666664;16.666666666666664;SemJogada;NaoJogou;72.72727272727273;NaoJogou;[1.98];[1.91];[1.29];[24.45];False
Azul;Azul;None;1.04;Esta no Tome!!;28.78787878787879;27.27272727272727;21.21212121212121;Coluna 6 Anterior não pagadora;21/03/2025;22:09:35;26.29;Sovalor;SoValor;66.66666666666666;66.66666666666666;None;0.0;0.0;50.0;33.33333333333333;16.666666666666664;33.33333333333333;SemJogada;NaoJogou;63.63636363636363;NaoJogou;[13.9];[6.79];[1.09];[1.24];True
Roxo;Azul;None;3.77;Esta no Tome!!;28.78787878787879;28.78787878787879;22.727272727272727;Coluna 6 Anterior não pagadora;21/03/2025;22:10:05;26.29;Sovalor;SoValor;66.66666666666666;66.66666666666666;None;25.0;0.0;50.0;50.0;33.33333333333333;33.33333333333333;SemJogada;NaoJogou;72.72727272727273;NaoJogou;[1.01];[1.71];[8.56];[2.53];False
Azul;Roxo;None;5.33;Esta no Tome!!;28.78787878787879;28.78787878787879;24.242424242424242;Coluna 6 Anterior não pagadora;21/03/2025;22:10:32;26.29;Sovalor;SoValor;58.333333333333336;66.66666666666666;None;50.0;25.0;33.33333333333333;50.0;33.33333333333333;16.666666666666664;SemJogada;NaoJogou;63.63636363636363;NaoJogou;[1.61];[1.53];[5.51];[4.67];True
