Cor Coluna 6;Cor Coluna 6 anterior anterior;Cor Coluna 6 Anterior;Valor Primeira Linha;Analise Grafica;%Tome;%tomeAnterior;% Pague;Coluna 6;Data;Hora;SaldoConta;ValorPColuna6;ValorPLinha;p%_menores_1p99x;p%_menores_1p99x_anterior;MultiplicadoPlinhaAnt;p%_menores_3p00x;p%_menores_3p00x_anterior;p%_menores_1p42x;p%_menores_1p42x_anterior;p%_menores_1p20x_anterior;p%_menores_1p20x;Jogadas_anterior;Jogou;1x12PrimeSemprimeV;joogou_ante;sexto_valor_primeira_linha;sexto_valor_segunda_linha;sexto_valor_terceira_linha;sexto_valor_quarta_linha;resultado_estrategia
Azul;Azul;None;1.32;Esta no Tome!!;40.909090909090914;39.39393939393939;27.27272727272727;Coluna 6 Anterior não pagadora;21/03/2025;19:04:05;42.77;Sovalor;SoValor;75.0;75.0;None;25.0;25.0;50.0;33.33333333333333;0.0;0.0;SemJogada;NaoJogou;72.72727272727273;NaoJogou;[4.57];[1.23];[1.02];[1.1];True
Azul;Azul;None;3.4;Esta no Tome!!;40.909090909090914;40.909090909090914;28.78787878787879;Coluna 6 Anterior não pagadora;21/03/2025;19:05:23;42.77;Sovalor;SoValor;66.66666666666666;75.0;None;50.0;25.0;50.0;50.0;0.0;0.0;SemJogada;NaoJogou;72.72727272727273;NaoJogou;[1.44];[1.61];[4.09];[94.72];True
Azul;Azul;None;241.87;Esta no Tome!!;40.909090909090914;40.909090909090914;30.303030303030305;Coluna 6 Anterior não pagadora;21/03/2025;19:05:36;42.77;Sovalor;SoValor;58.333333333333336;66.66666666666666;None;75.0;50.0;50.0;50.0;0.0;0.0;SemJogada;NaoJogou;63.63636363636363;NaoJogou;[1.23];[1.91];[1.0];[3.03];False
Azul;Azul;None;1.0;Esta no Tome!!;42.42424242424242;40.909090909090914;30.303030303030305;Coluna 6 Anterior não pagadora;21/03/2025;19:06:12;42.77;Sovalor;SoValor;58.333333333333336;58.333333333333336;None;50.0;75.0;50.0;50.0;0.0;16.666666666666664;SemJogada;NaoJogou;54.54545454545454;NaoJogou;[1.2];[1.83];[1.26];[1.33];True
Azul;Azul;None;7.97;Esta no Tome!!;42.42424242424242;42.42424242424242;31.818181818181817;Coluna 6 Anterior não pagadora;21/03/2025;19:06:26;42.77;Sovalor;SoValor;50.0;58.333333333333336;None;75.0;50.0;33.33333333333333;50.0;16.666666666666664;16.666666666666664;SemJogada;NaoJogou;54.54545454545454;NaoJogou;[3.64];[1.89];[1.02];[1.15];True
Azul;Azul;None;1.2;Esta no Tome!!;43.93939393939394;42.42424242424242;31.818181818181817;Coluna 6 Anterior não pagadora;21/03/2025;19:07:10;42.77;Sovalor;SoValor;50.0;50.0;None;50.0;75.0;50.0;33.33333333333333;16.666666666666664;16.666666666666664;SemJogada;NaoJogou;45.45454545454545;NaoJogou;[1.32];[4.56];[1.0];[1.09];True
Azul;Azul;None;17.07;Esta no Tome!!;43.93939393939394;43.93939393939394;33.33333333333333;Coluna 6 Anterior não pagadora;21/03/2025;19:07:32;42.77;Sovalor;SoValor;50.0;50.0;None;50.0;50.0;33.33333333333333;50.0;16.666666666666664;16.666666666666664;SemJogada;NaoJogou;54.54545454545454;NaoJogou;[3.4];[4.57];[1.23];[1.02];False
Azul;Azul;None;1.53;Esta no Tome!!;45.45454545454545;43.93939393939394;33.33333333333333;Coluna 6 Anterior não pagadora;21/03/2025;19:07:45;42.77;Sovalor;SoValor;58.333333333333336;50.0;None;50.0;50.0;33.33333333333333;33.33333333333333;16.666666666666664;16.666666666666664;SemJogada;NaoJogou;54.54545454545454;NaoJogou;[241.87];[1.44];[1.61];[4.09];False
Azul;Azul;None;1.14;Esta no Tome!!;46.96969696969697;45.45454545454545;33.33333333333333;Coluna 6 Anterior não pagadora;21/03/2025;19:08:03;42.77;Sovalor;SoValor;58.333333333333336;58.333333333333336;None;25.0;50.0;50.0;33.33333333333333;16.666666666666664;33.33333333333333;SemJogada;NaoJogou;54.54545454545454;NaoJogou;[1.0];[1.23];[1.91];[1.0];True
Azul;Azul;None;1.24;Esta no Tome!!;48.484848484848484;46.96969696969697;33.33333333333333;Coluna 6 Anterior não pagadora;21/03/2025;19:08:23;42.77;Sovalor;SoValor;58.333333333333336;58.333333333333336;None;25.0;25.0;50.0;50.0;33.33333333333333;16.666666666666664;SemJogada;NaoJogou;54.54545454545454;NaoJogou;[7.97];[1.2];[1.83];[1.26];True
Azul;Azul;None;1.96;Esta no Tome!!;50.0;48.484848484848484;33.33333333333333;Coluna 6 Anterior não pagadora;21/03/2025;19:09:09;42.77;Sovalor;SoValor;58.333333333333336;58.333333333333336;None;0.0;25.0;50.0;50.0;16.666666666666664;16.666666666666664;SemJogada;NaoJogou;54.54545454545454;NaoJogou;[1.2];[3.64];[1.89];[1.02];True
Azul;Azul;None;20.04;Esta no Tome!!;50.0;50.0;34.84848484848485;Coluna 6 Anterior não pagadora;21/03/2025;19:09:26;42.77;Sovalor;SoValor;58.333333333333336;58.333333333333336;None;25.0;0.0;33.33333333333333;50.0;16.666666666666664;16.666666666666664;SemJogada;NaoJogou;63.63636363636363;NaoJogou;[17.07];[1.32];[4.56];[1.0];False
Azul;Azul;None;1.25;Esta no Tome!!;51.515151515151516;50.0;34.84848484848485;Coluna 6 Anterior não pagadora;21/03/2025;19:09:41;42.77;Sovalor;SoValor;58.333333333333336;58.333333333333336;None;25.0;25.0;50.0;33.33333333333333;16.666666666666664;16.666666666666664;SemJogada;NaoJogou;54.54545454545454;NaoJogou;[1.53];[3.4];[4.57];[1.23];True
Azul;Azul;None;1.49;Esta no Tome!!;53.03030303030303;51.515151515151516;34.84848484848485;Coluna 6 Anterior não pagadora;21/03/2025;19:09:53;42.77;Sovalor;SoValor;66.66666666666666;58.333333333333336;None;25.0;25.0;50.0;50.0;16.666666666666664;16.666666666666664;SemJogada;NaoJogou;63.63636363636363;NaoJogou;[1.14];[241.87];[1.44];[1.61];True
Azul;Azul;None;1.01;Esta no Tome!!;54.54545454545454;53.03030303030303;34.84848484848485;Coluna 6 Anterior não pagadora;21/03/2025;19:10:10;42.77;Sovalor;SoValor;75.0;66.66666666666666;None;25.0;25.0;50.0;50.0;16.666666666666664;16.666666666666664;SemJogada;NaoJogou;72.72727272727273;NaoJogou;[1.24];[1.0];[1.23];[1.91];True
Azul;Azul;None;1.79;Esta no Tome!!;56.060606060606055;54.54545454545454;34.84848484848485;Coluna 6 Anterior não pagadora;21/03/2025;19:10:22;42.77;Sovalor;SoValor;75.0;75.0;None;0.0;25.0;33.33333333333333;50.0;16.666666666666664;16.666666666666664;SemJogada;NaoJogou;72.72727272727273;NaoJogou;[1.96];[7.97];[1.2];[1.83];True
Azul;Azul;None;1.0;Esta no Tome!!;57.57575757575758;56.060606060606055;33.33333333333333;Coluna 6 Anterior não pagadora;21/03/2025;19:11:21;42.77;Sovalor;SoValor;83.33333333333334;75.0;None;0.0;0.0;50.0;33.33333333333333;16.666666666666664;33.33333333333333;SemJogada;NaoJogou;81.81818181818183;NaoJogou;[20.04];[1.2];[3.64];[1.89];False
Azul;Azul;None;65.81;Esta no Tome!!;57.57575757575758;57.57575757575758;33.33333333333333;Coluna 6 Anterior não pagadora;21/03/2025;19:12:01;42.77;Sovalor;SoValor;75.0;83.33333333333334;None;25.0;0.0;50.0;50.0;33.33333333333333;33.33333333333333;SemJogada;NaoJogou;81.81818181818183;NaoJogou;[1.25];[17.07];[1.32];[4.56];False
Azul;Azul;None;1.73;Esta no Tome!!;60.60606060606061;57.57575757575758;30.303030303030305;Coluna 6 Anterior não pagadora;21/03/2025;19:12:24;42.77;Sovalor;SoValor;83.33333333333334;75.0;None;25.0;25.0;33.33333333333333;50.0;33.33333333333333;33.33333333333333;SemJogada;NaoJogou;81.81818181818183;NaoJogou;[1.01];[1.14];[241.87];[1.44];False
None;None;None;None;;None;None;None;None;21/03/2025;19:14:14;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None
