Cor Coluna 6;Cor Coluna 6 anterior anterior;Cor Coluna 6 Anterior;Valor Primeira Linha;Analise Grafica;%Tome;%tomeAnterior;% Pague;Coluna 6;Data;Hora;SaldoConta;ValorPColuna6;ValorPLinha;p%_menores_1p99x;p%_menores_1p99x_anterior;MultiplicadoPlinhaAnt;p%_menores_3p00x;p%_menores_3p00x_anterior;p%_menores_1p42x;p%_menores_1p42x_anterior;p%_menores_1p20x_anterior;p%_menores_1p20x;Jogadas_anterior;Jogou;1x12PrimeSemprimeV;joogou_ante;sexto_valor_primeira_linha;sexto_valor_segunda_linha;sexto_valor_terceira_linha;sexto_valor_quarta_linha
None;None;None;None;;None;None;None;None;18/03/2025;20:54:41;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None;None
Azul;None;None;1.28;Esta no Tome!!;33.33333333333333;None;16.666666666666664;Coluna 6 Anterior não pagadora;18/03/2025;20:54:50;41.96;None;None;83.33333333333334;None;None;0.0;None;50.0;None;None;0.0;SemJogada;NaoJogou;81.81818181818183;None;[1.53];[1.6];[2.76];[1.19]
Roxo;Azul;None;2.6;Esta no Tome!!;33.33333333333333;33.33333333333333;18.181818181818183;Coluna 6 Anterior não pagadora;18/03/2025;20:55:03;41.96;Sovalor;SoValor;75.0;83.33333333333334;None;0.0;0.0;50.0;50.0;0.0;0.0;SemJogada;NaoJogou;81.81818181818183;NaoJogou;[1.39];[2.7];[2.07];[2.26]
Azul;Roxo;None;1.22;Esta no Tome!!;34.84848484848485;33.33333333333333;18.181818181818183;Coluna 6 Anterior não pagadora;18/03/2025;20:55:15;41.96;Sovalor;SoValor;83.33333333333334;75.0;1.93076;0.0;0.0;50.0;50.0;0.0;0.0;SemJogada;NaoJogou;81.81818181818183;NaoJogou;[1.54];[1.59];[1.87];[2.52]
Azul;Azul;None;1.22;Esta no Tome!!;36.36363636363637;34.84848484848485;18.181818181818183;Coluna 6 Anterior não pagadora;18/03/2025;20:55:25;41.96;Sovalor;SoValor;83.33333333333334;83.33333333333334;None;0.0;0.0;66.66666666666666;50.0;0.0;0.0;SemJogada;NaoJogou;81.81818181818183;NaoJogou;[1.36];[1.07];[1.59];[4.23]
Azul;Azul;None;1.02;Esta no Tome!!;37.878787878787875;36.36363636363637;18.181818181818183;Coluna 6 Anterior não pagadora;18/03/2025;20:56:22;41.96;Sovalor;SoValor;83.33333333333334;83.33333333333334;None;0.0;0.0;66.66666666666666;66.66666666666666;0.0;16.666666666666664;SemJogada;NaoJogou;81.81818181818183;NaoJogou;[1.97];[2.1];[1.41];[1.13]
Azul;Azul;None;51.82;Esta no Tome!!;37.878787878787875;37.878787878787875;19.696969696969695;Coluna 6 Anterior não pagadora;18/03/2025;20:56:44;41.96;Sovalor;SoValor;83.33333333333334;83.33333333333334;None;25.0;0.0;66.66666666666666;66.66666666666666;16.666666666666664;16.666666666666664;SemJogada;NaoJogou;90.9090909090909;NaoJogou;[1.28];[1.38];[1.2];[1.11]
Azul;Azul;None;2.08;Esta no Tome!!;37.878787878787875;37.878787878787875;21.21212121212121;Coluna 6 Anterior não pagadora;18/03/2025;20:56:58;41.96;Sovalor;SoValor;75.0;83.33333333333334;None;25.0;25.0;50.0;66.66666666666666;16.666666666666664;16.666666666666664;SemJogada;NaoJogou;81.81818181818183;NaoJogou;[2.6];[1.53];[1.6];[2.76]
Roxo;Azul;None;1.56;Esta no Tome!!;39.39393939393939;37.878787878787875;21.21212121212121;Coluna 6 Anterior não pagadora;18/03/2025;20:57:36;41.96;Sovalor;SoValor;75.0;75.0;None;25.0;25.0;50.0;50.0;16.666666666666664;16.666666666666664;SemJogada;NaoJogou;72.72727272727273;NaoJogou;[1.22];[1.39];[2.7];[2.07]
Azul;Roxo;None;9.02;Esta no Tome!!;39.39393939393939;39.39393939393939;22.727272727272727;Coluna 6 Anterior não pagadora;18/03/2025;20:58:29;41.96;Sovalor;SoValor;66.66666666666666;75.0;None;50.0;25.0;33.33333333333333;50.0;16.666666666666664;16.666666666666664;SemJogada;NaoJogou;72.72727272727273;NaoJogou;[1.22];[1.54];[1.59];[1.87]
Azul;Azul;None;33.09;Esta no Tome!!;39.39393939393939;39.39393939393939;24.242424242424242;Coluna 6 Anterior não pagadora;18/03/2025;20:58:45;41.96;Sovalor;SoValor;58.333333333333336;66.66666666666666;6.698252;50.0;50.0;16.666666666666664;33.33333333333333;16.666666666666664;16.666666666666664;SemJogada;NaoJogou;63.63636363636363;NaoJogou;[1.02];[1.36];[1.07];[1.59]
Azul;Azul;None;1.51;Esta no Tome!!;40.909090909090914;39.39393939393939;24.242424242424242;Coluna 6 Anterior não pagadora;18/03/2025;20:59:10;41.96;Sovalor;SoValor;58.333333333333336;58.333333333333336;6.698252;50.0;50.0;0.0;16.666666666666664;16.666666666666664;0.0;SemJogada;NaoJogou;54.54545454545454;NaoJogou;[51.82];[1.97];[2.1];[1.41]
Azul;Azul;None;3.94;Esta no Tome!!;40.909090909090914;40.909090909090914;25.757575757575758;Coluna 6 Anterior não pagadora;18/03/2025;20:59:27;41.96;Sovalor;SoValor;50.0;58.333333333333336;None;75.0;50.0;0.0;0.0;0.0;0.0;SemJogada;NaoJogou;54.54545454545454;NaoJogou;[2.08];[1.28];[1.38];[1.2]
Azul;Azul;None;1.63;Esta no Tome!!;42.42424242424242;40.909090909090914;25.757575757575758;Coluna 6 Anterior não pagadora;18/03/2025;20:59:43;41.96;Sovalor;SoValor;50.0;50.0;2.9258439999999997;50.0;75.0;0.0;0.0;0.0;0.0;SemJogada;NaoJogou;45.45454545454545;NaoJogou;[1.56];[2.6];[1.53];[1.6]
Roxo;Azul;None;1.47;Esta no Tome!!;43.93939393939394;42.42424242424242;25.757575757575758;Coluna 6 Anterior não pagadora;18/03/2025;20:59:57;41.96;Sovalor;SoValor;58.333333333333336;50.0;None;25.0;50.0;0.0;0.0;0.0;0.0;SemJogada;NaoJogou;54.54545454545454;NaoJogou;[9.02];[1.22];[1.39];[2.7]
Azul;Roxo;None;1.41;Esta no Tome!!;45.45454545454545;43.93939393939394;25.757575757575758;Coluna 6 Anterior não pagadora;18/03/2025;21:00:18;41.96;Sovalor;SoValor;58.333333333333336;58.333333333333336;None;25.0;25.0;16.666666666666664;0.0;0.0;0.0;SemJogada;NaoJogou;54.54545454545454;NaoJogou;[33.09];[1.22];[1.54];[1.59]
Azul;Azul;None;2.25;Esta no Tome!!;45.45454545454545;45.45454545454545;27.27272727272727;Coluna 6 Anterior não pagadora;18/03/2025;21:00:36;41.96;Sovalor;SoValor;50.0;58.333333333333336;None;0.0;25.0;16.666666666666664;16.666666666666664;0.0;0.0;SemJogada;NaoJogou;54.54545454545454;NaoJogou;[1.51];[1.02];[1.36];[1.07]
Azul;Azul;None;2.18;Esta no Tome!!;45.45454545454545;45.45454545454545;28.78787878787879;Coluna 6 Anterior não pagadora;18/03/2025;21:00:59;41.96;Sovalor;SoValor;41.66666666666667;50.0;None;0.0;0.0;16.666666666666664;16.666666666666664;0.0;0.0;SemJogada;NaoJogou;45.45454545454545;NaoJogou;[3.94];[51.82];[1.97];[2.1]
Azul;Azul;None;2.77;Esta no Tome!!;45.45454545454545;45.45454545454545;30.303030303030305;Coluna 6 Anterior não pagadora;18/03/2025;21:01:28;41.96;Sovalor;SoValor;41.66666666666667;41.66666666666667;None;0.0;0.0;16.666666666666664;16.666666666666664;0.0;0.0;SemJogada;NaoJogou;45.45454545454545;NaoJogou;[1.63];[2.08];[1.28];[1.38]
Azul;Azul;None;4.94;Esta no Tome!!;45.45454545454545;45.45454545454545;31.818181818181817;Coluna 6 Anterior não pagadora;18/03/2025;21:01:45;41.96;Sovalor;SoValor;41.66666666666667;41.66666666666667;2.057002;25.0;0.0;16.666666666666664;16.666666666666664;0.0;0.0;SemJogada;NaoJogou;45.45454545454545;NaoJogou;[1.47];[1.56];[2.6];[1.53]
Azul;Azul;None;1.1;Esta no Tome!!;46.96969696969697;45.45454545454545;31.818181818181817;Coluna 6 Anterior não pagadora;18/03/2025;21:02:23;41.96;Sovalor;SoValor;41.66666666666667;41.66666666666667;3.668444;25.0;25.0;33.33333333333333;16.666666666666664;0.0;16.666666666666664;SemJogada;NaoJogou;36.36363636363637;NaoJogou;[1.41];[9.02];[1.22];[1.39]
Azul;Azul;None;12.24;Esta no Tome!!;46.96969696969697;46.96969696969697;33.33333333333333;Coluna 6 Anterior não pagadora;18/03/2025;21:02:45;41.96;Sovalor;SoValor;41.66666666666667;41.66666666666667;None;50.0;25.0;16.666666666666664;33.33333333333333;16.666666666666664;16.666666666666664;SemJogada;NaoJogou;45.45454545454545;NaoJogou;[2.25];[33.09];[1.22];[1.54]
Azul;Azul;None;2.56;Esta no Tome!!;46.96969696969697;46.96969696969697;34.84848484848485;Coluna 6 Anterior não pagadora;18/03/2025;21:03:34;41.96;Sovalor;SoValor;41.66666666666667;41.66666666666667;None;50.0;50.0;16.666666666666664;16.666666666666664;16.666666666666664;16.666666666666664;SemJogada;NaoJogou;45.45454545454545;NaoJogou;[2.18];[1.51];[1.02];[1.36]
Roxo;Azul;None;24.05;Esta no Tome!!;46.96969696969697;46.96969696969697;36.36363636363637;Coluna 6 Anterior não pagadora;18/03/2025;21:03:59;41.96;Sovalor;SoValor;33.33333333333333;41.66666666666667;1.901056;50.0;50.0;16.666666666666664;16.666666666666664;16.666666666666664;16.666666666666664;SemJogada;NaoJogou;36.36363636363637;NaoJogou;[2.77];[3.94];[51.82];[1.97]
Azul;Roxo;None;2.02;Esta no Tome!!;46.96969696969697;46.96969696969697;37.878787878787875;Coluna 6 Anterior não pagadora;18/03/2025;21:04:21;41.96;Sovalor;SoValor;33.33333333333333;33.33333333333333;1.901056;50.0;50.0;16.666666666666664;16.666666666666664;16.666666666666664;16.666666666666664;SemJogada;NaoJogou;36.36363636363637;NaoJogou;[4.94];[1.63];[2.08];[1.28]
Azul;Azul;None;2.35;Esta no Tome!!;46.96969696969697;46.96969696969697;39.39393939393939;Coluna 6 Anterior não pagadora;18/03/2025;21:04:38;41.96;Sovalor;SoValor;25.0;33.33333333333333;None;25.0;50.0;16.666666666666664;16.666666666666664;16.666666666666664;16.666666666666664;SemJogada;NaoJogou;27.27272727272727;NaoJogou;[1.1];[1.47];[1.56];[2.6]
Azul;Azul;None;1.3;Esta no Tome!!;48.484848484848484;46.96969696969697;39.39393939393939;Coluna 6 Anterior não pagadora;18/03/2025;21:04:54;41.96;Sovalor;SoValor;25.0;25.0;None;25.0;25.0;16.666666666666664;16.666666666666664;16.666666666666664;0.0;SemJogada;NaoJogou;18.181818181818183;NaoJogou;[12.24];[1.41];[9.02];[1.22]
Azul;Azul;None;1.79;Esta no Tome!!;50.0;48.484848484848484;39.39393939393939;Coluna 6 Anterior não pagadora;18/03/2025;21:05:25;41.96;Sovalor;SoValor;25.0;25.0;None;0.0;25.0;16.666666666666664;16.666666666666664;0.0;0.0;SemJogada;NaoJogou;18.181818181818183;NaoJogou;[2.56];[2.25];[33.09];[1.22]
Azul;Azul;None;5.93;Esta no Tome!!;50.0;50.0;40.909090909090914;Coluna 6 Anterior não pagadora;18/03/2025;21:05:45;41.96;Sovalor;SoValor;25.0;25.0;None;25.0;0.0;16.666666666666664;16.666666666666664;0.0;0.0;SemJogada;NaoJogou;27.27272727272727;NaoJogou;[24.05];[2.18];[1.51];[1.02]
Roxo;Azul;None;1.8;Esta no Tome!!;51.515151515151516;50.0;39.39393939393939;Coluna 6 Anterior não pagadora;18/03/2025;21:06:07;41.96;Sovalor;SoValor;33.33333333333333;25.0;4.403618;25.0;25.0;16.666666666666664;16.666666666666664;0.0;0.0;SemJogada;NaoJogou;27.27272727272727;NaoJogou;[2.02];[2.77];[3.94];[51.82]
Roxo;Roxo;None;2.8;Esta no Tome!!;51.515151515151516;51.515151515151516;39.39393939393939;Coluna 6 Anterior não pagadora;18/03/2025;21:06:37;41.96;Sovalor;SoValor;33.33333333333333;33.33333333333333;None;25.0;25.0;16.666666666666664;16.666666666666664;0.0;0.0;SemJogada;NaoJogou;36.36363636363637;NaoJogou;[2.35];[4.94];[1.63];[2.08]
